
 NCe$Z (MAGNETIZATION AND ZEEMAN)    
 AL=  -1.9990	GJ=   0.8571
 FI=   0. TETA=  90.

  X(J)  -525.40002   -60.10000     0.00000     0.00000     0.00000     0.00000   764.40002     0.00000     0.00000
   2.00000000       74.6271973       2.05209637    
   3.00000000       78.6611176       3.56908631    
   4.00000000       85.8848801       5.08754015    
   5.00000000       95.2677155       6.60538530    
   6.00000000       106.025986       8.11888695    
   7.00000000       117.676361       9.62502384    
   8.00000000       129.924988       11.1217718    
   9.00000000       142.588165       12.6078672    
   10.0000000       155.546875       14.0825424    
   11.0000000       168.721313       15.5453558    
   12.0000000       182.056198       16.9960632    
   13.0000000       195.512161       18.4345455    
   14.0000000       209.060501       19.8607788    
   15.0000000       222.679794       21.2747822    
   16.0000000       236.353790       22.6766186    
   17.0000000       250.069916       24.0663776    
   18.0000000       263.818298       25.4441605    
   19.0000000       277.591125       26.8100777    
   20.0000000       291.382111       28.1642513    
   21.0000000       305.186066       29.5068169    
   22.0000000       318.998840       30.8378944    
   23.0000000       332.816895       32.1576271    
   24.0000000       346.637268       33.4661331    
   25.0000000       360.457489       34.7635651    
   26.0000000       374.275208       36.0500488    
   27.0000000       388.088684       37.3257217    
   28.0000000       401.896149       38.5907173    
   29.0000000       415.695801       39.8451805    
   30.0000000       429.486298       41.0892487    
   31.0000000       443.266083       42.3230515    
   32.0000000       457.033691       43.5467339    
   33.0000000       470.787323       44.7604485    
   34.0000000       484.525726       45.9643173    
   35.0000000       498.246948       47.1585007    
   36.0000000       511.949158       48.3431511    
   37.0000000       525.630432       49.5184135    
   38.0000000       539.288513       50.6844292    
   39.0000000       552.921265       51.8413734    
   40.0000000       566.525940       52.9893951    
   41.0000000       580.099854       54.1286583    
   42.0000000       593.640137       55.2593117    
   43.0000000       607.144104       56.3815422    
   44.0000000       620.607666       57.4955025    
   45.0000000       634.027710       58.6013680    
   46.0000000       647.400452       59.6993141    
   47.0000000       660.722351       60.7895050    
   48.0000000       673.988586       61.8721237    
   49.0000000       687.195557       62.9473381    
   50.0000000       700.338440       64.0153275    
   51.0000000       713.413025       65.0762863    
   52.0000000       726.414124       66.1303711    
   53.0000000       739.337708       67.1777573    
   54.0000000       752.177856       68.2186432    
   55.0000000       764.930359       69.2531891    
   56.0000000       777.590027       70.2815781    
   57.0000000       790.151489       71.3039780    
   58.0000000       802.609680       72.3205872    
   59.0000000       814.959351       73.3315506    
   60.0000000       827.195618       74.3370438    
   61.0000000       839.313049       75.3372574    
   62.0000000       851.306763       76.3323517    
   63.0000000       863.171753       77.3224640    
   64.0000000       874.903198       78.3077850    
   65.0000000       886.495667       79.2884903    
   66.0000000       897.944702       80.2647095    
   67.0000000       909.245850       81.2366028    
   68.0000000       920.395020       82.2043304    
   69.0000000       931.386414       83.1680374    
   70.0000000       942.217041       84.1278610    
   71.0000000       952.882385       85.0839844    
   72.0000000       963.378967       86.0364914    
   73.0000000       973.702515       86.9855804    
   74.0000000       983.850342       87.9313354    
   75.0000000       993.818909       88.8739090    
   76.0000000       1003.60468       89.8134308    
   77.0000000       1013.20508       90.7500229    
   78.0000000       1022.61823       91.6838074    
   79.0000000       1031.84094       92.6149063    
   80.0000000       1040.87134       93.5434341    
   81.0000000       1049.70764       94.4694824    
